[18-May-2019 02:36:45] PHP Warning:  Module 'oci8' already loaded in Unknown on line 0
[18-May-2019 02:36:49] PHP Warning:  Module 'oci8' already loaded in Unknown on line 0
[18-May-2019 02:59:12] PHP Warning:  Module 'oci8' already loaded in Unknown on line 0
[18-May-2019 02:59:12] PHP Warning:  session_start(): open(/var/lib/php/session/sess_9rgajlivai31ppeaee3a5mrgb0, O_RDWR) failed: Permission denied (13) in /home/stu/zworman/public_html/info.php on line 2
[18-May-2019 02:59:12] PHP Notice:  Undefined index: loggedin in /home/stu/zworman/public_html/info.php on line 326
[18-May-2019 02:59:12] PHP Warning:  Unknown: open(/var/lib/php/session/sess_9rgajlivai31ppeaee3a5mrgb0, O_RDWR) failed: Permission denied (13) in Unknown on line 0
[18-May-2019 02:59:12] PHP Warning:  Unknown: Failed to write session data (files). Please verify that the current setting of session.save_path is correct (/var/lib/php/session) in Unknown on line 0
[19-May-2019 02:30:31] PHP Warning:  Module 'oci8' already loaded in Unknown on line 0
[19-May-2019 02:30:33] PHP Notice:  Undefined variable: result in /home/stu/zworman/public_html/report2.php on line 9
[19-May-2019 02:30:33] PHP Warning:  pg_query() expects parameter 1 to be resource, null given in /home/stu/zworman/public_html/report2.php on line 9
[19-May-2019 02:30:33] PHP Warning:  pg_num_rows() expects parameter 1 to be resource, null given in /home/stu/zworman/public_html/report2.php on line 12
[19-May-2019 02:30:33] PHP Warning:  max(): Array must contain at least one element in /home/stu/zworman/public_html/diag.php on line 75
[19-May-2019 02:30:33] PHP Warning:  Division by zero in /home/stu/zworman/public_html/diag.php on line 81
